,2013_05_01,2013_05_02,2013_05_03,2013_05_04,2013_05_05,2013_05_06,2013_05_07,2013_05_08,2013_05_09,2013_05_10,2013_05_11,2013_05_12,2013_05_13
0,44.5462092624,42.8159539028,43.1566502818,43.7061957799,45.5120001213,53.8367760106,65.2693960483,64.0114336849,67.6451501826,61.3483008093,57.0075876696,53.6395913277,48.8641216768
1,45.1907975805,46.3978902483,45.3047895408,48.6308183584,50.3513732256,49.5785833456,51.2644865874,55.6958557244,54.200673479,55.7971769887,55.4750399053,57.8428871846,58.7309341482
2,55.5754411313,49.3353337974,44.8072453622,42.716029995,42.6960125942,43.078133878,43.5509100188,44.0736298167,42.9173495666,42.8066924162,42.6839869701,44.0874164063,44.7028507647
3,43.054377305,42.9627019485,44.0956530732,45.4780706879,50.8497905742,61.4415884583,61.4993934307,59.5469240901,50.8805106952,45.8326112225,45.0370675998,44.8969980833,45.0533351541
4,50.5606447674,45.6830091999,44.5909620092,45.5419804604,44.278988027,44.8810439813,50.3473643772,52.9439010579,54.5057436279,55.5429306423,58.408598484,62.5054175653,67.6966166737
5,71.787355076,63.336603886,52.4072383209,44.8701727544,41.5137322366,41.595099868,41.1095774043,40.9083447469,40.8476600758,40.7584471739,40.9564038293,44.8061284079,43.241620442
6,43.355329502,43.8841605669,44.5645942433,49.3516451621,57.5670771982,61.870604818,57.4012153608,50.0649659312,47.6117831484,45.8238314732,45.3977128796,44.7628989255,44.679378649
7,45.0903847345,45.349345526,45.0423996936,46.7918692569,51.11483415,58.8649756224,62.838230639,62.5962428271,59.8241677618,56.9395701527,55.5900884954,53.1708171938,48.5907915829
8,46.1377733421,42.7391534104,42.4563956018,42.1840556442,42.0530375706,41.9281254966,41.9893651954,41.6973251907,41.8347008638,41.5717639366,42.6510100401,41.9525771782,41.9153624696
9,40.9295185525,40.8629087273,40.6599622088,40.6109456285,40.4397428623,39.9534958173,40.3464827207,40.3138940375,40.4888858758,40.6853674148,40.8462699276,44.9240148704,41.9819252023
10,41.6307009826,40.9552435646,41.8580356369,41.5979782537,42.2135819939,43.4874930786,43.8349576467,43.4410870063,41.5580591197,40.7472894605,40.3404566098,40.4247813899,40.3496927417
11,40.2979581748,40.5337057397,40.8339637981,41.0775510694,41.0920441244,40.875992414,41.0521725839,40.8456883304,41.8839354657,42.0266755442,41.4311065797,40.4331953797,39.5803005996
12,40.0558726775,39.4329312214,39.1676952947,38.9961835691,38.8431251824,38.8544863322,39.1405212738,39.2938682163,39.1781092103,39.4442391009,39.5823952163,39.4991786323,39.7005337658
13,39.7688057699,39.8084678321,39.8637322637,40.0033400065,40.1799052496,41.3048447768,41.0969064564,40.9662429873,41.2307119142,40.5129205931,40.8029029908,40.0852203914,42.1436302398
14,43.4170742497,44.7419181732,45.2883556736,40.32827247,40.1735259,39.678445515,39.9702175767,40.1516853162,43.839158375,43.1271258507,42.3093022951,42.7969437969,43.361114207
15,47.7864598307,57.7548850799,60.9293660255,56.5423571774,50.4180460188,48.2147103873,44.6105157949,44.5946712704,44.4204954307,44.4537833311,44.7365087582,44.6979519529,45.0491933984
16,48.8253794706,46.0275361048,46.8616631744,45.7971151693,45.2680971609,47.3093767668,47.6622434803,51.2997201263,52.7041760908,48.9550453575,43.1691260637,40.3452835177,40.4773966204
17,40.9733757528,40.809428052,40.8410796534,40.521288059,40.6667384141,40.8361642315,41.4108764604,45.9584549625,43.1002793887,42.9661606669,43.6460405848,44.5134928888,47.5872212127
18,55.63898947,63.0792102791,54.6555895104,49.8874824611,46.1071487524,45.5155049976,45.6144419774,45.47562003,49.3121534496,46.7711799218,44.8938727983,44.5634557516,44.6728994555
19,44.6738433267,48.1933748437,49.2037820667,53.7298803417,53.6970663637,56.8180664006,59.2789984851,56.1447008158,53.0348475068,47.6301149814,42.6127893305,41.1533329956,41.3987430457
20,41.6840508889,41.529520457,41.161591744,41.3991291798,41.3035550388,41.9147254125,45.8356883334,43.8653449855,43.3853073828,44.4368031019,46.1751282727,50.8327020877,57.8203898221
21,64.609433406,65.1296683719,54.7709557689,51.3368926278,53.3560023906,46.8794196874,45.4943304929,45.1866403696,44.8377236092,44.874570888,44.408329422,45.1380283304,45.8667392635
22,50.729002847,50.9944505597,53.3793209609,54.1119019852,54.6352679732,56.9946745149,54.8690852431,50.0504893764,44.9698859384,41.6710642953,41.2570999786,41.5687096171,41.818897714
23,41.2044615996,42.3219070451,41.1576375068,41.3525629966,41.7210505258,46.5036825887,44.4322226729,43.6797300517,44.4475296742,45.2954828687,48.9752894753,56.2684216814,56.8537350449
24,54.2056056801,48.0113394792,46.0729705815,45.9657276056,46.1034183737,45.357507215,45.122120067,45.0816968508,46.9906614207,50.8172375467,46.0320759892,46.2365036313,54.5974182885
25,56.6179378469,61.8808374629,63.3623142639,63.6090422365,65.1566247273,60.5931759223,53.5182081506,44.9271033724,41.7210847446,41.5402207122,41.4167788976,41.9946576949,41.0790738883
26,41.6109056764,41.1651399413,41.1746824923,41.0317532338,45.5702725625,44.261487091,43.219145551,43.9331492709,44.6073299224,49.0804327905,56.2231285902,55.9213253237,55.4725737133
27,53.6452133521,47.5811512566,45.2876305126,45.6305204956,44.8245867982,44.4241335672,44.5593328103,45.2009538981,46.2698854277,47.4020278327,51.4962543767,61.6329486433,65.8734219953
28,66.666808235,68.9619840243,71.9406061042,68.6375389343,67.2860635379,66.3327299547,61.4630447131,58.3900402796,44.8848696338,41.9299394272,41.2544222083,41.27970872,41.5403524805
29,41.1194187388,41.2235511548,40.5246756835,44.0884142873,42.4867628356,42.523895927,41.4164473848,41.3657444206,40.762907736,40.1109807656,40.4035920401,40.1325481615,40.4747422258
