,2013_05_01,2013_05_02,2013_05_03,2013_05_04,2013_05_05,2013_05_06,2013_05_07,2013_05_08,2013_05_09,2013_05_10,2013_05_11,2013_05_12,2013_05_13
5,43.1566502818,45.5120001213,65.2693960483,67.6451501826,57.0075876696,48.8641216768,46.3978902483,48.6308183584,49.5785833456,55.6958557244,55.7971769887,57.8428871846,55.5754411313
6,44.8072453622,42.6960125942,43.5509100188,42.9173495666,42.9627019485,45.4780706879,61.4415884583,59.5469240901,45.8326112225,44.8969980833,50.5606447674,44.5909620092,44.278988027
7,50.3473643772,54.5057436279,58.408598484,67.6966166737,63.336603886,44.8701727544,41.595099868,40.9083447469,43.355329502,44.5645942433,57.5670771982,57.4012153608,47.6117831484
8,45.3977128796,44.679378649,45.349345526,46.7918692569,58.8649756224,62.5962428271,56.9395701527,53.1708171938,46.1377733421,42.4563956018,42.0530375706,41.9893651954,41.9153624696
9,40.8629087273,40.6109456285,39.9534958173,40.3138940375,40.6853674148,44.9240148704,41.6307009826,41.8580356369,42.2135819939,43.8349576467,41.5580591197,40.3404566098,40.3496927417
10,40.5337057397,41.0775510694,40.875992414,40.4331953797,40.0558726775,39.1676952947,38.8431251824,39.1405212738,39.1781092103,39.5823952163,39.7005337658,39.8084678321,40.0033400065
11,41.3048447768,40.9662429873,40.5129205931,40.0852203914,43.4170742497,45.2883556736,40.1735259,42.3093022951,43.361114207,57.7548850799,56.5423571774,48.2147103873,44.5946712704
12,44.4537833311,44.6979519529,48.8253794706,46.8616631744,45.2680971609,47.6622434803,52.7041760908,43.1691260637,40.4773966204,40.809428052,40.521288059,42.9661606669,44.5134928888
13,55.63898947,54.6555895104,46.1071487524,45.6144419774,49.3121534496,44.8938727983,44.6728994555,48.1933748437,53.7298803417,56.8180664006,56.1447008158,47.6301149814,41.1533329956
14,41.6840508889,41.161591744,43.3853073828,46.1751282727,57.8203898221,65.1296683719,51.3368926278,46.8794196874,45.1866403696,44.874570888,45.1380283304,50.729002847,53.3793209609
15,54.6352679732,54.8690852431,44.9698859384,41.2570999786,41.818897714,42.3219070451,43.6797300517,45.2954828687,56.2684216814,54.2056056801,46.0729705815,46.1034183737,45.122120067
16,46.9906614207,46.0320759892,54.5974182885,61.8808374629,63.6090422365,60.5931759223,44.9271033724,41.5402207122,41.9946576949,41.6109056764,43.219145551,44.6073299224,56.2231285902
17,55.4725737133,47.5811512566,45.6305204956,44.4241335672,45.2009538981,47.4020278327,61.6329486433,66.666808235,71.9406061042,67.2860635379,61.4630447131,44.8848696338,41.2544222083
18,41.5403524805,42.523895927,41.3657444206,40.1109807656,40.1325481615,40.6659435438,40.789834192,43.7344215659,41.9558500465,44.6712980749,45.756290152,45.5957505848,42.5105988547
19,41.866540978,41.4038970261,41.6578265506,41.8378358161,41.5524618663,39.6747456777,39.7806184152,39.5856459342,39.2036798823,39.4695685461,39.6126994129,42.9842077006,40.860872956
20,40.275313096,40.2327218915,43.3869055491,40.945406104,40.2523618574,40.338637714,41.4771795901,40.815598966,40.4943098419,42.0504740753,43.7113527033,53.5782303712,57.8501397214
21,46.2694422262,45.5967018274,44.8821056894,44.526721571,44.409714126,51.4771642854,53.7745323816,52.3206229386,51.9261683032,42.6270903997,40.9208106977,41.3328416084,41.0316870533
